Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1390,https://www.digikey.com/Photos/Rubycon/6SXB47M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SXB47M,CAP ALUM POLY 47UF 20% 6.3V SMD,RUBYCON CORP.,Tape,Lead time,,,1,1,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1391,https://www.digikey.com/Photos/Rubycon/6SXB47M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SXB47M,CAP ALUM POLY 47UF 20% 6.3V SMD,RUBYCON CORP.,Reel,Lead time,,,1,1,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1392,https://www.digikey.com/Photos/Rubycon/4SXB68M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SXB68M,CAP ALUM POLY 68UF 20% 6.3V SMD,RUBYCON CORP.,Tape and Reel,Lead time,,,"3,500","3,500",,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1393,https://www.digikey.com/Photos/Rubycon/4SXB68M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SXB68M,CAP ALUM POLY 68UF 20% 6.3V SMD,RUBYCON CORP.,Tape,Lead time,,,1,1,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1394,https://www.digikey.com/Photos/Rubycon/4SXB68M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SXB68M,CAP ALUM POLY 68UF 20% 6.3V SMD,RUBYCON CORP.,Reel,Lead time,,,1,1,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1395,https://www.digikey.com/Photos/Rubycon/PML%20CAP%20ST%20SERIES%203mm.jpg,Passive Components,Capacitors,Film Capacitors,35ST155MB33225,CAP FILM 1.5UF 20% 35VDC 1210,RUBYCON CORP.,Tape,Lead time,,,1,1,,"{""Capacitance"":"" 15F"","" Tolerance"":"" 15F"","" Voltage Rating - AC"":"" 15F"","" Voltage Rating - DC"":"" 15F"","" Dielectric Material"":"" 15F"","" Operating Temperature"":"" 15F"","" Mounting Type"":"" 15F"","" Package / Case"":"" 15F"","" Size / Dimension"":"" 15F"","" Height - Seated (Max)"":"" 15F"","" Termination"":"" 15F"","" Lead Spacing"":"" 15F"","" Applications"":"" 15F"","" Ratings"":"" 15F"","" Features"":"" 15F"","" RoHS Status"":"" 15F"","" Moisture Sensitivity Level (MSL)"":"" 15F"","" Standard Package"":"" 15F"","" Other Names"":"" 15F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1396,https://www.digikey.com/Photos/Rubycon/PML%20CAP%20ST%20SERIES%203mm.jpg,Passive Components,Capacitors,Film Capacitors,35ST155MB33225,CAP FILM 1.5UF 20% 35VDC 1210,RUBYCON CORP.,Reel,Lead time,,,1,1,,"{""Capacitance"":"" 15F"","" Tolerance"":"" 15F"","" Voltage Rating - AC"":"" 15F"","" Voltage Rating - DC"":"" 15F"","" Dielectric Material"":"" 15F"","" Operating Temperature"":"" 15F"","" Mounting Type"":"" 15F"","" Package / Case"":"" 15F"","" Size / Dimension"":"" 15F"","" Height - Seated (Max)"":"" 15F"","" Termination"":"" 15F"","" Lead Spacing"":"" 15F"","" Applications"":"" 15F"","" Ratings"":"" 15F"","" Features"":"" 15F"","" RoHS Status"":"" 15F"","" Moisture Sensitivity Level (MSL)"":"" 15F"","" Standard Package"":"" 15F"","" Other Names"":"" 15F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1397,https://www.digikey.com/Photos/Rubycon/PML%20CAP%20ST%20SERIES%201.8mm.JPG,Passive Components,Capacitors,Film Capacitors,35ST335MC24532,CAP FILM 3.3UF 20% 35VDC 1812,RUBYCON CORP.,Tape and Reel,Lead time,,,200,200,,"{""Capacitance"":"" 33F"","" Tolerance"":"" 33F"","" Voltage Rating - AC"":"" 33F"","" Voltage Rating - DC"":"" 33F"","" Dielectric Material"":"" 33F"","" Operating Temperature"":"" 33F"","" Mounting Type"":"" 33F"","" Package / Case"":"" 33F"","" Size / Dimension"":"" 33F"","" Height - Seated (Max)"":"" 33F"","" Termination"":"" 33F"","" Lead Spacing"":"" 33F"","" Applications"":"" 33F"","" Ratings"":"" 33F"","" Features"":"" 33F"","" RoHS Status"":"" 33F"","" Moisture Sensitivity Level (MSL)"":"" 33F"","" Standard Package"":"" 33F"","" Other Names"":"" 33F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1398,https://www.digikey.com/Photos/Rubycon/PML%20CAP%20ST%20SERIES%201.8mm.JPG,Passive Components,Capacitors,Film Capacitors,35ST335MC24532,CAP FILM 3.3UF 20% 35VDC 1812,RUBYCON CORP.,Tape,Lead time,,,1,1,,"{""Capacitance"":"" 33F"","" Tolerance"":"" 33F"","" Voltage Rating - AC"":"" 33F"","" Voltage Rating - DC"":"" 33F"","" Dielectric Material"":"" 33F"","" Operating Temperature"":"" 33F"","" Mounting Type"":"" 33F"","" Package / Case"":"" 33F"","" Size / Dimension"":"" 33F"","" Height - Seated (Max)"":"" 33F"","" Termination"":"" 33F"","" Lead Spacing"":"" 33F"","" Applications"":"" 33F"","" Ratings"":"" 33F"","" Features"":"" 33F"","" RoHS Status"":"" 33F"","" Moisture Sensitivity Level (MSL)"":"" 33F"","" Standard Package"":"" 33F"","" Other Names"":"" 33F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1399,https://www.digikey.com/Photos/Rubycon/PML%20CAP%20ST%20SERIES%205.70mm.jpg,Passive Components,Capacitors,Film Capacitors,35ST106MD35750,CAP FILM 10UF 20% 35VDC 2220,RUBYCON CORP.,Tape and Reel,Lead time,,,200,200,,"{""Capacitance"":"" 10F"","" Tolerance"":"" 10F"","" Voltage Rating - AC"":"" 10F"","" Voltage Rating - DC"":"" 10F"","" Dielectric Material"":"" 10F"","" Operating Temperature"":"" 10F"","" Mounting Type"":"" 10F"","" Package / Case"":"" 10F"","" Size / Dimension"":"" 10F"","" Height - Seated (Max)"":"" 10F"","" Termination"":"" 10F"","" Lead Spacing"":"" 10F"","" Applications"":"" 10F"","" Ratings"":"" 10F"","" Features"":"" 10F"","" RoHS Status"":"" 10F"","" Moisture Sensitivity Level (MSL)"":"" 10F"","" Standard Package"":"" 10F"","" Other Names"":"" 10F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
