Sr. no,Product Photo,Group Category ,Product Category ,Product Sub-Category,Manufacturer Part No,Short Description,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
60,//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_DX40LM-14PP-xxxCV%2850%29.jpg,Interconnect,Cable Assemblies,"D-Shaped, Centronics Cables",DX40LM-14PP-300CV(50),D-SUB TO AUDIO CONNECTOR 14POS,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Configuration’: ’Centronics 14 pos Male to Male’, ’Length’: ’Centronics 14 pos Male to Male’, ’Cable Type’: ’Centronics 14 pos Male to Male’, ’Shielding’: ’Centronics 14 pos Male to Male’, ’Style’: ’Centronics 14 pos Male to Male’, ’Moisture Sensit",,EAR99,85444220,,,
61,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-Y6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10102-Y8,"JUMPER-H9992TR/1852YL/X 2""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,,,DF13 Series
62,//media.digikey.com/photos/Hirose%20Elect%20Photos/TM11P-88PP-KSFNC2130.jpg,Interconnect,Cable Assemblies,Modular Cables,TM11P-88PP-KSFNC2130,CABLE MOD 8P8C PLUG TO PLUG 7’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,20,20,,"{’Cable Type’: ’-’, ’Connector Type’: ’-’, ’Mounting Type’: ’-’, ’Number of Positions/Contacts’: ’-’, ’Length’: ’-’, ’Shielding’: ’-’, ’Color’: ’-’, ’Features’: ’-’, ’Style’: ’-’, ’Moisture Sensitivity Level (MSL)’: ’-’, ’Standard Package’: ’-’, ’Oth",,EAR99,85444220,,,
63,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-N6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10102-N8,"JUMPER-H9992TR/1852BR/X 2""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,https://www.hirose.com/product/document?clcode=CL0536-0109-0-76&productname=DF13-10P-1.25DSA(76)&series=DF13&documenttype=Catalog&lang=en&documentid=D31687_en,,DF13 Series
64,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPH01-NCR-LM,CONNECTOR,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
65,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXT-10102-B6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10102-B8,"JUMPER-H9992TR/1852BK/X 2""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,,,DF13 Series
66,//media.digikey.com/photos/Hirose%20Elect%20Photos/TM11R-88-35S-300.jpg,Interconnect,Cable Assemblies,Modular Cables,TM11R-88-35S-300,CABLE MOD 8P8C JACK-CABLE 0.98’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,25,25,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",,EAR99,85444220,https://www.hirose.com/product/document?clcode=CL0222-1378-0-50&productname=TM11R-5C-88(50)&series=TM11R&documenttype=Catalog&lang=en&documentid=D31678_en,,
67,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPH01S-1M(31),FIBER OPTIC CBL 1M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
68,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPH01S-ASC02-1M(31),FIBER OPTIC CBL 1M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
69,//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_TM2RG-L66.jpg,Interconnect,Cable Assemblies,Modular Cables,TM2RG-L66-5S-305,CABLE MOD 6P6C JACK TO CABLE 1’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,150,150,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",No,EAR99,85444220,,,
70,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10B-WPH03-SC02-12M(31),FIBER OPTIC CBL 12M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
71,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPH03-LC06-25M(31),FIBER OPTIC CBL 25M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
72,//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_TM1R-616M44.jpg,Interconnect,Cable Assemblies,Modular Cables,TM1R-616M44-35S-205,CABLE MOD 4P4C JACK-CABLE 0.67’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",No,EAR99,85444220,,,
73,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXT-10102-B6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10103-B8,"JUMPER-H9992TR/1852BK/X 3""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,,,DF13 Series
74,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-R6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10103-R8,"JUMPER-H9992TR/1852RD/X 3""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,https://www.hirose.com/product/document?clcode=CL0536-0109-0-76&productname=DF13-10P-1.25DSA(76)&series=DF13&documenttype=Catalog&lang=en&documentid=D31687_en,,DF13 Series
75,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXG-10102-A6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10103-A8,"JUMPER-H9992TR/1852OR/X 3""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,,,DF13 Series
76,,Interconnect,Cable Assemblies,Modular Cables,TM2RCV-M88-10P-490A(30),CABLE MOD 8P8C JACK-CABLE 1.61’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",,EAR99,85444220,,,
77,,Interconnect,Cable Assemblies,Modular Cables,TM2RCV-M88-10P-1100A(30),CABLE MOD 8P8C JACK-CABLE 3.61’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",,EAR99,85444220,,,
78,,Interconnect,Cable Assemblies,Modular Cables,TM2RCV-M88-10P-1200RS(30),CABLE MOD 8P8C JACK-CABLE 3.94’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",,EAR99,85444220,,,
79,//media.digikey.com/photos/Hirose%20Elect%20Photos/H3BXT-10102-L6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10103-L8,"JUMPER-H9992TR/1852BL/X 3""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,,,DF13 Series
80,,Interconnect,Cable Assemblies,Modular Cables,TM10P-88PP-TSDP1000B(50),CABLE MOD 8P8C PLUG-PLUG 3.28’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Cable Type’: ’-’, ’Connector Type’: ’-’, ’Mounting Type’: ’-’, ’Number of Positions/Contacts’: ’-’, ’Length’: ’-’, ’Shielding’: ’-’, ’Color’: ’-’, ’Features’: ’-’, ’Style’: ’-’, ’Moisture Sensitivity Level (MSL)’: ’-’, ’Standard Package’: ’-’}",,EAR99,85444220,,,
81,,Interconnect,Cable Assemblies,Modular Cables,TM2RCV-M88-10P-120A(30),CABLE MOD 8P8C JACK-CABLE 0.39’,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’Cable Type’: ’Flat, Straight Cable’, ’Connector Type’: ’Flat, Straight Cable’, ’Mounting Type’: ’Flat, Straight Cable’, ’Number of Positions/Contacts’: ’Flat, Straight Cable’, ’Length’: ’Flat, Straight Cable’, ’Shielding’: ’Flat, Straight Cable’, ’",,EAR99,85444220,,,
82,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPH03-SC02-30M(31),FIBER OPTIC CBL 30M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
83,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10B-WPH03-SC02-3M(31),FIBER OPTIC CBL 3M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
84,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPH03-SC02-5M(31),FIBER OPTIC CBL 5M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
85,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10B-WPH03-SC02-5M(31),FIBER OPTIC CBL 5M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
86,,Interconnect,Cable Assemblies,Fiber Optic Cables,MF10BWPSH11-DLC06-30M(31),FIBER OPTIC CBL 30M,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,1,1,,"{’1st Connector’: ’-’, ’2nd Connector’: ’-’, ’Cable Diameter’: ’-’, ’Cable Type’: ’-’, ’Features’: ’-’, ’Fiber Type’: ’-’, ’Length - Overall’: ’-’, ’Type’: ’-’, ’Ratings’: ’-’, ’Bend Radius’: ’-’, ’Color - Cable’: ’-’, ’Color - Connectors’: ’-’, ’Ins",Yes,EAR99,85444220,,,
87,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BXT-10102-B6.jpg,Interconnect,Cable Assemblies,"Jumper Wires, Pre-Crimped Leads",H4BXT-10104-B8,"JUMPER-H9992TR/1852BK/X 4""","HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,,,10,10,,"{’Contact End’: ’Socket to Cable (Round)’, ’Length’: ’Socket to Cable (Round)’, ’Wire Gauge’: ’Socket to Cable (Round)’, ’Contact Finish’: ’Socket to Cable (Round)’, ’Color’: ’Socket to Cable (Round)’, ’Contact Finish Thickness’: ’Socket to Cable (Ro",Yes,EAR99,85444220,,,DF13 Series
