Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link
18,https://static.wixstatic.com/media/7db2d6_9682e266e13544f89f6bfc8ce56b3f1e~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04A-K01,"ASM,4WAY,KEYCAP,W/ARROWS,ROHS",Grayhill,Bulk,Lead Time,18 weeks,0,1,25,13.94,0,Yes,EAR 99,,https://www.grayhill.com/documents/04A-Datasheet
19,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04A-K02,"ASM,4WAY,KEYCAP,-ARROWS,ROHS",Grayhill,Bulk,Lead Time,18 weeks,0,1,25,13.94,0,Yes,EAR 99,,https://www.grayhill.com/documents/04A-Datasheet
20,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AP-C01,"ASM,JOYSTICK,4WAY,PCB",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,100.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
21,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AP-C02,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,107.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
22,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AP-C12,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,107.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
23,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AP-T01,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,100.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
24,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AP-T02,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,107.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
25,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-C01,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,100.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
26,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-C02,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,107.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
27,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-C11,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,100.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
28,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-C12,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,107.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
29,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-T01,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,100.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
30,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-T02,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,107.99,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
31,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-AS-T11,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,100.75,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
32,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BP-C01,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,105.24,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
33,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BP-C11,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,105.24,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
34,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BP-T01,"ASM,JOYSTICK,4WAY,PCB",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,105.24,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
35,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BP-T02,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,112.48,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
36,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BP-T12,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,112.48,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
37,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BS-C01,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,105.24,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
38,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BS-C02,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,112.48,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
39,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BS-C12,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,112.48,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
40,https://static.wixstatic.com/media/7db2d6_8557ea00029e4f42813cb276f5f3a494~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BS-T01,"ASM,JOYSTICK,4WAY",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,105.24,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
41,https://static.wixstatic.com/media/7db2d6_04b18f88cf464a5c9bd4e29e923e62ae~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04J-BS-T02,"ASM,JOYSTICK,4WAY,SL",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,112.48,0,Yes,EAR 99,,https://www.grayhill.com/documents/04J-Datasheet
42,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Pushbutton,Pushbutton,04JT-AP-T02,"JOYSTICK,TACTILE",Grayhill,Bulk,Lead Time,18 weeks,0,1,1,115.16,0,Yes,EAR 99,,https://www.grayhill.com/documents/04JT-Datasheet
43,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-02N,05A36-01-1-02N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,27.16,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
44,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-02S,05A36-01-1-02S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,27.16,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
45,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-03N,05A36-01-1-03N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,27.56,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
46,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-03S,05A36-01-1-03S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,27.56,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
47,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-04N,05A36-01-1-04N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,27.96,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
48,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-04S,05A36-01-1-04S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,27.96,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
49,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-05N,05A36-01-1-05N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,28.33,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
50,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-05S,05A36-01-1-05S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,28.33,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
51,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-06N,05A36-01-1-06N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,28.74,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
52,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-06S,05A36-01-1-06S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,28.74,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
53,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-07N,05A36-01-1-07N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,29.11,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
54,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-07S,05A36-01-1-07S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,29.11,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
55,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-08N,05A36-01-1-08N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,29.49,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
56,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-08S,05A36-01-1-08S,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,29.49,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
57,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-09N,05A36-01-1-09N,Grayhill,Bulk,Lead Time,18 weeks,0,1,10,29.95,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
58,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-09S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
59,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-10N,05A36-01-1-10N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,30.33,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
60,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05001-10S,05A36-01-1-10S,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,30.33,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
61,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-02N,05A36-02-1-02N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,247.97,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
62,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-03N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
63,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-03S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
64,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-04N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
65,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-04S,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
66,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-05N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
67,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-06N,,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,0,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
68,https://static.wixstatic.com/media/7db2d6_3651f9ab50774ff3b1150e9c51a068fa~mv2.jpg,Electromechanical Components,Rotary,Rotary,05002-07N,05A36-02-1-07N,Grayhill,Bulk,Lead Time,18 weeks,0,1,1,258.52,0,Yes,EAR 99,,https://www.grayhill.com/documents/5000-Datasheet
