Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
11,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11744,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Twin Axial"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11744,,
12,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11747,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11747,,
13,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11748,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""984 (300m)"""","" Cable Type"":"" Round"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11748,,
14,http://www.digikey.com/Photos/Conec%20Photos/17-101324.jpg,Interconnect,Cable Assemblies,Other Cable Assemblies,17-101324,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Molded Plugs"","" Style"":"" Cat5e"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17-101324-ND""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=17-101324,,"CAT5e, CAT6, and CAT6a Patch Cables"
15,,Interconnect,Cable Assemblies,Between Series Adapter Cables,43-11735,CONN MALE M12,CONEC,Bag,Lead time,11 Weeks,,1,1,,"{""Connector Type"":"" D-Sub 09 pos Male"","" Right Angle to Circular 04 pos Male"","" Length"":"" ""656 (200m)"""","" Cable Type"":"" Round"","" Twin Axial"","" Color"":"" Violet"","" Shielding"":"" Shielded"","" Usage"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=43-11735,,
16,http://www.digikey.com/photos/Conec%20Photos/17-10028.JPG,Interconnect,Cable Assemblies,Other Cable Assemblies,17-10028,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1710028""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/sites/2/2013/08/IO_Katalog_Gesamt_GB_Web.pdf#page=601,,
17,http://www.digikey.com/photos/Conec%20Photos/17-10008.JPG,Interconnect,Cable Assemblies,Other Cable Assemblies,17-10008,CABLE MOD 8P8C PLUG-PLUG 16.4,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""1640 (500m)"""","" Shielding"":"" Unshielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 626-1331""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/sites/2/2013/08/IO_Katalog_Gesamt_GB_Web.pdf#page=601,,
18,http://www.digikey.com/photos/Conec%20Photos/17-10006.JPG,Interconnect,Cable Assemblies,Other Cable Assemblies,17-101254,CABLE MOD 8P8C PLUG-PLUG 16.4,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""1640 (500m)"""","" Shielding"":"" Unshielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17-101254-ND""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/sites/2/2013/08/IO_Katalog_Gesamt_GB_Web.pdf#page=601,,
19,http://www.digikey.com/photos/Conec%20Photos/17-100544.jpg,Interconnect,Cable Assemblies,Other Cable Assemblies,17-100544,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,25,25,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 25"","" Other Names"":"" 17100544""}",Yes,EAR99,85444220,,,
20,http://www.digikey.com/photos/Conec%20Photos/17-10029.JPG,Interconnect,Cable Assemblies,Other Cable Assemblies,17-10029,CABLE MOD 8P8C PLUG-PLUG 13.12,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""1312 (400m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 626-1333""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/sites/2/2013/08/IO_Katalog_Gesamt_GB_Web.pdf#page=601,,
21,http://www.digikey.com/photos/Conec%20Photos/17-101114.jpg,Interconnect,Cable Assemblies,Other Cable Assemblies,17-101114,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Circular Threaded Coupling"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17101114""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=17-100994,,RJ45 Connectors
22,,Interconnect,Cable Assemblies,Other Cable Assemblies,17-100964,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Circular Threaded Coupling"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17-100964-ND""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/sites/2/2013/08/IO_Katalog_Gesamt_GB_Web.pdf#page=539,,
23,,Interconnect,Cable Assemblies,Other Cable Assemblies,17-101314,CABLE MOD 8P8C PLUG-PLUG 16.4,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""1640 (500m)"""","" Shielding"":"" Shielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17-101314-ND""}",Yes,EAR99,85444220,https://www.conec.com/en/wp-content/uploads/2010/02/IO-Connectors-IP67-Water-Resistant-2010_english.pdf,,
24,,Interconnect,Cable Assemblies,Other Cable Assemblies,17-100684,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Unshielded"","" Color"":"" Blue"","" Features"":"" Molded Plugs"","" Style"":"" Cat5e"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 17-100684-ND""}",Yes,EAR99,85444220,,,
25,http://www.digikey.com/photos/Conec%20Photos/17-101144.jpg,Interconnect,Cable Assemblies,Other Cable Assemblies,17-101144,CABLE MOD 8P8C PLUG-PLUG 6.56,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Cable Type"":"" Round Cable"","" Connector Type"":"" Plug to Plug"","" Mounting Type"":"" Free Hanging (In-Line)"","" Number of Positions/Contacts"":"" 8p8c (RJ45"","" Ethernet)"","" Length"":"" ""656 (200m)"""","" Shielding"":"" Unshielded"","" Color"":"" Black"","" Features"":"" Circular Bayonet Coupling"","" Molded Plugs"","" Style"":"" Cat5e"","" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" Not Applicable"","" Standard Package"":"" 1"","" Other Names"":"" 17101144""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=17-101154,,RJ45 Connectors
26,http://www.digikey.com/Photos/Conec%20Photos/17-200231.jpg,Interconnect,Cable Assemblies,USB Cables,17-200231,CONN USB PATCH CORD A-A PLUG 2M,CONEC,Bag,Lead time,12 Weeks,,1,1,,"{""Configuration"":"" A Male to A Male (Circular Coupling)"","" Length"":"" ""656 (200m)"""","" Specifications"":"" USB 20"","" Wire Gauge"":"" 24 AWG"","" 28 AWG"","" Shielding"":"" Shielded"","" Color"":"" Black"","" Style"":"" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 17200231""}",Yes,EAR99,85444220,https://conec.com/catalog/en/download/download/drawing/?sku=17-200231,,USB 2.0 - IP67 Connector System
27,http://www.digikey.com/Photos/Conec%20Photos/17-201091.jpg,Interconnect,Cable Assemblies,USB Cables,17-201091,CONN USB PATCH CORD 3M IP67,CONEC,Bag,Lead time,10 Weeks,,1,1,,"{""Configuration"":"" A Male to B Male"","" Length"":"" ""984 (300m)"""","" Specifications"":"" USB 20"","" Wire Gauge"":"" 24 AWG"","" 28 AWG"","" Shielding"":"" Shielded"","" Color"":"" Black"","" Style"":"" Industrial Environments - IP67"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 17-201091-ND""}",Yes,EAR99,85444220,https://conec.com/catalog/pub/media/conec/drawings/17-201091.pdf,,
