Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1047,https://www.digikey.com/Photos/Apacer%20Photos/AP-ISD01GCS2A-3T.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD01GCS2A-3T,MEMORY CARD SD 1GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SD"","" Other Names"":"" 1GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
1048,https://www.digikey.com/Photos/Apacer%20Photos/AP-ISD01GIS2B-3T.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD01GIS2B-3T,MEMORY CARD SD 1GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SD"","" Other Names"":"" 1GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
1049,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM032G12AN-PTM1,SATA3 DISK MODULE 22-PIN 90 DEG,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 210MB/s"","" Speed - Write"":"" 43MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 175mA"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 4400mm x 3000mm x 835mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 3 (168 Hours)"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/SATA/Module/22Pin/SDM5A-M_22P90D_15nm_APSDMxxxG12AN-PTM1X_Spec_rev1.4.pdf,,
1050,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APM002GMFFN-4BT,MSATA SS210-300 SLC 2GB,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 2GB"","" Memory Type"":"" FLASH - NAND (SLC)"","" Form Factor"":"" mSATA"","" Speed - Read"":"" 60MB/s"","" Speed - Write"":"" 28MB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" 230mA"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 5080mm x 2985mm x 380mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,http://eflash.apacerus.com/SPEC/SATA/mSATA/SS210-300_APMxxxGMFXX-4BTXX_Spec_rev1.3.pdf,,
1051,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APM064GNEAN-3GTM1,MSATA MINI H1-M (MO-300B) SATA3,"APACER TECHNOLOGY, INC.",Tray,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 64GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" mSATA"","" Speed - Read"":"" 280MB/s"","" Speed - Write"":"" 90MB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" 485mA (Typ)"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 2985mm x 2680mm x 395mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,,,
1052,,Wireless & Memory,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",APSDM032G42AN-PTM1,SATA3 DISK MODULE 22-PIN/90 DEGR,"APACER TECHNOLOGY, INC.",Bulk,Lead time,8 Weeks,,1,1,,"{""Memory Size"":"" 32GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" Disk-On-Module"","" SATA DOM"","" Speed - Read"":"" 210MB/s"","" Speed - Write"":"" 43MB/s"","" Voltage - Supply"":"" 5V"","" Type"":"" SATA III"","" Current - Max"":"" 175mA"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 4580mm x 3280mm x 100mm"","" Base Part Number"":"" "","" RoHS Status"":"" ROHS3 Compliant"","" Standard Package"":"" 1""}",Yes,EAR99,85371000,http://eflash.apacerus.com/SPEC/SATA/Module/SDM5A-M/SDM5A-M_22P180D_15nm_APSDMxxxG42AN-PTM1X_Spec_rev1.3.pdf,,
1053,https://www.digikey.com/Photos/Apacer%20Photos/MFG_AP-ISD02GIS2B-3T.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD02GIS2B-3T,MEMORY CARD SD 2GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SD"","" Other Names"":"" 2GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
1054,https://www.digikey.com/Photos/Apacer%20Photos/AP-ISD032GCA-1ATM.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD032GCA-1ATM,MEMORY CARD SD 32GB MLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" SD"","" Memory Size"":"" 32GB"","" Speed"":"" -"","" Technology"":"" MLC"","" Operating Temperature"":"" -25C ~ 85C"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1 (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1582-1074""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/Online%20version%20Datasheets/EDM_ISD_H1-M.pdf,,
1055,https://www.digikey.com/Photos/Apacer%20Photos/AP-ISD04GIS4B-3T.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD04GIS4B-3T,MEMORY CARD SDHC 4GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SDHC"","" Other Names"":"" 4GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
1056,https://www.digikey.com/Photos/Apacer%20Photos/AP-ISD04GCS4A-3T.jpg,Wireless & Memory,"Memory Cards, Modules",FLASH,AP-ISD04GCS4A-3T,MEMORY CARD SDHC 4GB SLC,"APACER TECHNOLOGY, INC.",Bulk,Lead time,,,1,1,,"{""Memory Type"":"" Type"","" Memory Size"":"" "","" Speed"":"" "","" Technology"":"" Apacer Memory America"","" Operating Temperature"":"" -"","" RoHS Status"":"" "","" Moisture Sensitivity Level (MSL)"":"" Discontinued at Digi-Key"","" Standard Package"":"" SDHC"","" Other Names"":"" 4GB""}",Yes,EAR99,85371000,http://eflash.apacerus.com/spec/Card/SD/EDM_ISD.pdf,,
