Product Photo,Group Category,Product Category ,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCN,Lead Time,HSCode,Short Description,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min,COO,Series
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,Yes,EAR 99,18 weeks,,44UA90-01-2-02N,39.71,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-01-2-02N,,10,1,USA,42-44
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-02-1-03N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-02-1-04N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-02-2-02N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-02B04N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-03-1-02N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-03-1-04N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-03-2-02N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-04-1-03N,,,,,
https://static.wixstatic.com/media/7db2d6_847eadfd70df45b6830b424fe3061c48~mv2.jpg,Electromechanical Components,Rotary Switch,Rotary,"GRAYHILL, INC.",Bulk,Lead time,,,,,,,,https://www.grayhill.com/documents/42-44-Datasheet,44UA90-04-1-04N,,,,,
