Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
1501,https://www.digikey.com/Photos/Rubycon/MFG_MXG-Series.jpg,Passive Components,Capacitors,Aluminum Electrolytic Capacitors,400MXG150MEFCSN22X35,CAP ALUM 150UF 20% 400V SNAP,RUBYCON CORP.,Bulk,Lead time,,,200,200,,"{""Capacitance"":"" 150F"","" Tolerance"":"" 150F"","" Voltage - Rated"":"" 150F"","" ESR (Equivalent Series Resistance)"":"" 150F"","" Lifetime @ Temp"":"" 150F"","" Operating Temperature"":"" 150F"","" Polarization"":"" 150F"","" Ratings"":"" 150F"","" Applications"":"" 150F"","" Ripple Current @ Low Frequency"":"" 150F"","" Ripple Current @ High Frequency"":"" 150F"","" Lead Spacing"":"" 150F"","" Size / Dimension"":"" 150F"","" Height - Seated (Max)"":"" 150F"","" Surface Mount Land Size"":"" 150F"","" Mounting Type"":"" 150F"","" Package / Case"":"" 150F"","" RoHS Status"":"" 150F"","" Moisture Sensitivity Level (MSL)"":"" 150F"","" Standard Package"":"" 150F"","" Other Names"":"" 150F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_MXG.pdf,,MXG Series Capacitors
1502,https://www.digikey.com/Photos/Rubycon/200MXG680MEFCSN30X25.jpg,Passive Components,Capacitors,Aluminum Electrolytic Capacitors,50MXG4700MEFCSN35X25,CAP ALUM 4700UF 20% 50V SNAP,RUBYCON CORP.,Bulk,Lead time,,,100,100,,"{""Capacitance"":"" 4700F"","" Tolerance"":"" 4700F"","" Voltage - Rated"":"" 4700F"","" ESR (Equivalent Series Resistance)"":"" 4700F"","" Lifetime @ Temp"":"" 4700F"","" Operating Temperature"":"" 4700F"","" Polarization"":"" 4700F"","" Ratings"":"" 4700F"","" Applications"":"" 4700F"","" Lead Spacing"":"" 4700F"","" Size / Dimension"":"" 4700F"","" Height - Seated (Max)"":"" 4700F"","" Surface Mount Land Size"":"" 4700F"","" Mounting Type"":"" 4700F"","" Package / Case"":"" 4700F"","" RoHS Status"":"" 4700F"","" Moisture Sensitivity Level (MSL)"":"" 4700F"","" Standard Package"":"" 4700F"","" Other Names"":"" 4700F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_MXG.pdf,,MXG Series Capacitors
1503,https://www.digikey.com/Photos/Rubycon/200KXW330MEFC18X30.JPG,Passive Components,Capacitors,Aluminum Electrolytic Capacitors,420KXW120MEFC18X30,CAP ALUM 120UF 20% 420V RADIAL,RUBYCON CORP.,Bulk,Lead time,,,200,200,,"{""Capacitance"":"" 120F"","" Tolerance"":"" 120F"","" Voltage - Rated"":"" 120F"","" ESR (Equivalent Series Resistance)"":"" 120F"","" Lifetime @ Temp"":"" 120F"","" Operating Temperature"":"" 120F"","" Polarization"":"" 120F"","" Ratings"":"" 120F"","" Applications"":"" 120F"","" Lead Spacing"":"" 120F"","" Size / Dimension"":"" 120F"","" Height - Seated (Max)"":"" 120F"","" Surface Mount Land Size"":"" 120F"","" Mounting Type"":"" 120F"","" Package / Case"":"" 120F"","" RoHS Status"":"" 120F"","" Moisture Sensitivity Level (MSL)"":"" 120F"","" Standard Package"":"" 120F"","" Other Names"":"" 120F""}",Yes,EAR99,85321000,,,
1504,https://www.digikey.com/Photos/Rubycon/450HXG120MEFCSN22X35.jpg,Passive Components,Capacitors,Aluminum Electrolytic Capacitors,450HXG120MEFCSN22X35,CAP ALUM 120UF 20% 450V SNAP,RUBYCON CORP.,Bulk,Lead time,,,200,200,,"{""Capacitance"":"" 120F"","" Tolerance"":"" 120F"","" Voltage - Rated"":"" 120F"","" ESR (Equivalent Series Resistance)"":"" 120F"","" Lifetime @ Temp"":"" 120F"","" Operating Temperature"":"" 120F"","" Polarization"":"" 120F"","" Ratings"":"" 120F"","" Applications"":"" 120F"","" Ripple Current @ Low Frequency"":"" 120F"","" Ripple Current @ High Frequency"":"" 120F"","" Lead Spacing"":"" 120F"","" Size / Dimension"":"" 120F"","" Height - Seated (Max)"":"" 120F"","" Surface Mount Land Size"":"" 120F"","" Mounting Type"":"" 120F"","" Package / Case"":"" 120F"","" RoHS Status"":"" 120F"","" Moisture Sensitivity Level (MSL)"":"" 120F"","" Standard Package"":"" 120F"","" Other Names"":"" 120F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/aluminum/e_HXG.pdf,,HXG Series Capacitors
1505,https://,Passive Components,Capacitors,Film Capacitors,16ST1.5M3216-ND,CAP FILM 1.5UF 20% 16VDC 1206,RUBYCON CORP.,Tape and Reel,Lead time,,,"3,000","3,000",,"{""Capacitance"":"" 15F"","" Tolerance"":"" 15F"","" Voltage Rating - AC"":"" 15F"","" Voltage Rating - DC"":"" 15F"","" Dielectric Material"":"" 15F"","" Operating Temperature"":"" 15F"","" Mounting Type"":"" 15F"","" Package / Case"":"" 15F"","" Size / Dimension"":"" 15F"","" Height - Seated (Max)"":"" 15F"","" Termination"":"" 15F"","" Lead Spacing"":"" 15F"","" Applications"":"" 15F"","" Ratings"":"" 15F"","" Features"":"" 15F"","" RoHS Status"":"" 15F"","" Moisture Sensitivity Level (MSL)"":"" 15F"","" Standard Package"":"" 15F"","" Other Names"":"" 15F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1506,https://,Passive Components,Capacitors,Film Capacitors,100ST104M3225,CAP FILM 0.1UF 20% 100VDC 1210,RUBYCON CORP.,Tape and Reel,Lead time,,,"2,000","2,000",,"{""Capacitance"":"" 01F"","" Tolerance"":"" 01F"","" Voltage Rating - AC"":"" 01F"","" Voltage Rating - DC"":"" 01F"","" Dielectric Material"":"" 01F"","" Operating Temperature"":"" 01F"","" Mounting Type"":"" 01F"","" Package / Case"":"" 01F"","" Size / Dimension"":"" 01F"","" Height - Seated (Max)"":"" 01F"","" Termination"":"" 01F"","" Lead Spacing"":"" 01F"","" Applications"":"" 01F"","" Ratings"":"" 01F"","" Features"":"" 01F"","" RoHS Status"":"" 01F"","" Moisture Sensitivity Level (MSL)"":"" 01F"","" Standard Package"":"" 01F"","" Other Names"":"" 01F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1507,https://,Passive Components,Capacitors,Film Capacitors,16ST10M4532-ND,CAP FILM 10UF 20% 16VDC 1812,RUBYCON CORP.,Tape and Reel,Lead time,,,500,500,,"{""Capacitance"":"" 10F"","" Tolerance"":"" 10F"","" Voltage Rating - AC"":"" 10F"","" Voltage Rating - DC"":"" 10F"","" Dielectric Material"":"" 10F"","" Operating Temperature"":"" 10F"","" Mounting Type"":"" 10F"","" Package / Case"":"" 10F"","" Size / Dimension"":"" 10F"","" Height - Seated (Max)"":"" 10F"","" Termination"":"" 10F"","" Lead Spacing"":"" 10F"","" Applications"":"" 10F"","" Ratings"":"" 10F"","" Features"":"" 10F"","" RoHS Status"":"" 10F"","" Moisture Sensitivity Level (MSL)"":"" 10F"","" Standard Package"":"" 10F"","" Other Names"":"" 10F""}",Yes,EAR99,85321000,http://www.rubycon.co.jp/en/catalog/e_pdfs/pmlcap/Caution_Eng.pdf,,
1508,https://www.digikey.com/Photos/Rubycon/4SLG68M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SLG47M,CAP ALUM POLY 47UF 20% 6.3V SMD,RUBYCON CORP.,Tape and Reel,Lead time,,,500,500,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1509,https://www.digikey.com/Photos/Rubycon/4SLG68M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SLG47M,CAP ALUM POLY 47UF 20% 6.3V SMD,RUBYCON CORP.,Tape,Lead time,,,1,1,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
1510,https://www.digikey.com/Photos/Rubycon/4SLG68M.JPG,Passive Components,Capacitors,Aluminum - Polymer Capacitors,6SLG47M,CAP ALUM POLY 47UF 20% 6.3V SMD,RUBYCON CORP.,Reel,Lead time,,,1,1,,"{""Type"":"" Polymer"","" Capacitance"":"" Polymer"","" Tolerance"":"" Polymer"","" Voltage - Rated"":"" Polymer"","" ESR (Equivalent Series Resistance)"":"" Polymer"","" Lifetime @ Temp"":"" Polymer"","" Operating Temperature"":"" Polymer"","" Ratings"":"" Polymer"","" Applications"":"" Polymer"","" Ripple Current @ High Frequency"":"" Polymer"","" Lead Spacing"":"" Polymer"","" Size / Dimension"":"" Polymer"","" Height - Seated (Max)"":"" Polymer"","" Surface Mount Land Size"":"" Polymer"","" Mounting Type"":"" Polymer"","" Package / Case"":"" Polymer"","" RoHS Status"":"" Polymer"","" Moisture Sensitivity Level (MSL)"":"" Polymer"","" Standard Package"":"" Polymer"","" Other Names"":"" Polymer""}",Yes,EAR99,85321000,,,
