Product Photo,Group Category ,Product Category ,Product Sub-Category,Manufacturer Name,Available packaging,Stock Status,ROHS,ECCN,Lead Time,HSCode,Short Description,Price,Technical Specification,Datasheet Link,Manufacturer Part No,Quantity Available,Qty Multiple,Qty Min,COO,Series
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_HLS-JJ-2.jpg,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,,,COAXIAL VARIABLE PHASE SHIFTER,,"{’Tool Type’: ’Phase Shifter’, ’For Use With/Related Products’: ’Phase Shifter’, ’Weight’: ’Phase Shifter’, ’RoHS Status’: ’Phase Shifter’, ’Moisture Sensitivity Level (MSL)’: ’Phase Shifter’, ’Standard Package’: ’Phase Shifter’, ’Other Names’: ’Phas",,HLS-JJ-2,,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL (81),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL (81),,1,1,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL (71),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL (71),,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_AT-100-Type.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 30DB 50OHM SMA,,"{’Attenuation Value’: ’30dB’, ’Frequency Range’: ’30dB’, ’Power (Watts)’: ’30dB’, ’Impedance’: ’30dB’, ’Package / Case’: ’30dB’, ’RoHS Status’: ’30dB’, ’Moisture Sensitivity Level (MSL)’: ’30dB’, ’Standard Package’: ’30dB’, ’Other Names’: ’30dB’}",,AT-130V,,20,20,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,,,TOOL FOR MF11BMT RETENTION PLATE,,"{’Tool Type’: ’Installation Tool’, ’For Use With/Related Products’: ’Installation Tool’, ’RoHS Status’: ’Installation Tool’, ’Moisture Sensitivity Level (MSL)’: ’Installation Tool’, ’Standard Package’: ’Installation Tool’}",,MF11BMT-W01/CV-MD,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 6DB 50OHM SMA,,"{’Attenuation Value’: ’6dB’, ’Frequency Range’: ’6dB’, ’Power (Watts)’: ’6dB’, ’Impedance’: ’6dB’, ’Package / Case’: ’6dB’, ’RoHS Status’: ’6dB’, ’Moisture Sensitivity Level (MSL)’: ’6dB’, ’Standard Package’: ’6dB’, ’Other Names’: ’6dB’}",,AT-106V,,20,20,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,,FH58 MATING TOOL (41),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,FH58 MATING TOOL (41),,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 5DB 50OHM SMA,,"{’Attenuation Value’: ’5dB’, ’Frequency Range’: ’5dB’, ’Power (Watts)’: ’5dB’, ’Impedance’: ’5dB’, ’Package / Case’: ’5dB’, ’RoHS Status’: ’5dB’, ’Moisture Sensitivity Level (MSL)’: ’5dB’, ’Standard Package’: ’5dB’, ’Other Names’: ’5dB’}",,AT-105V,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,16 weeks,85437099,RF ATTENUATOR 10DB 50OHM 2.92MM,,"{’Attenuation Value’: ’10dB’, ’Frequency Range’: ’10dB’, ’Power (Watts)’: ’10dB’, ’Impedance’: ’10dB’, ’Package / Case’: ’10dB’, ’RoHS Status’: ’10dB’, ’Moisture Sensitivity Level (MSL)’: ’10dB’, ’Standard Package’: ’10dB’, ’Other Names’: ’10dB’}",,HK-AT(10)-PJ,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_HSC2-PH2%5ECVMD.jpg,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,,90139090,PLUG ASSY TOOL,,"{’RoHS Status’: ’Not applicable’, ’Moisture Sensitivity Level (MSL)’: ’Not applicable’, ’Standard Package’: ’Not applicable’, ’Other Names’: ’Not applicable’}",https://www.hirose.com/product/document?clcode=&productname=&series=HSC&documenttype=Catalog&lang=en&documentid=D31606_en,HSC2-PH2/CVMD,,1,1,,
