Product_photo,Group Category,product_category,product_Subcategory,Manufacturer,Packaging,Stock Status,RoHS,ECCN,Manufacturer Part No.,Lead time,HSCode,Description,Price,Technical Specification,Datasheets,Quantity Available,Qty Multiple,Qty Min,COO,Series
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-106V,16 weeks,85437099,RF ATTENUATOR 6DB 50OHM SMA,,"{’Attenuation Value’: ’6dB’, ’Frequency Range’: ’6dB’, ’Power (Watts)’: ’6dB’, ’Impedance’: ’6dB’, ’Package / Case’: ’6dB’, ’RoHS Status’: ’6dB’, ’Moisture Sensitivity Level (MSL)’: ’6dB’, ’Standard Package’: ’6dB’, ’Other Names’: ’6dB’}",,,20,20,,
,Interconnect,Tools,Specialized Tools,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,FH58 MATING TOOL (41),16 weeks,,FH58 MATING TOOL (41),,"{’RoHS Status’: ’RoHS Compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS Compliant’, ’Standard Package’: ’RoHS Compliant’, ’Other Names’: ’RoHS Compliant’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-105V,16 weeks,85437099,RF ATTENUATOR 5DB 50OHM SMA,,"{’Attenuation Value’: ’5dB’, ’Frequency Range’: ’5dB’, ’Power (Watts)’: ’5dB’, ’Impedance’: ’5dB’, ’Package / Case’: ’5dB’, ’RoHS Status’: ’5dB’, ’Moisture Sensitivity Level (MSL)’: ’5dB’, ’Standard Package’: ’5dB’, ’Other Names’: ’5dB’}",,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/HK-AT(x)-PJ.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Tray,Lead time ,Yes,EAR99,HK-AT(10)-PJ,16 weeks,85437099,RF ATTENUATOR 10DB 50OHM 2.92MM,,"{’Attenuation Value’: ’10dB’, ’Frequency Range’: ’10dB’, ’Power (Watts)’: ’10dB’, ’Impedance’: ’10dB’, ’Package / Case’: ’10dB’, ’RoHS Status’: ’10dB’, ’Moisture Sensitivity Level (MSL)’: ’10dB’, ’Standard Package’: ’10dB’, ’Other Names’: ’10dB’}",,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/MFG_HSC2-PH2%5ECVMD.jpg,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,HSC2-PH2/CVMD,,90139090,PLUG ASSY TOOL,,"{’RoHS Status’: ’Not applicable’, ’Moisture Sensitivity Level (MSL)’: ’Not applicable’, ’Standard Package’: ’Not applicable’, ’Other Names’: ’Not applicable’}",https://www.hirose.com/product/document?clcode=&productname=&series=HSC&documenttype=Catalog&lang=en&documentid=D31606_en,,1,1,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-102V,16 weeks,85437099,RF ATTENUATOR 2DB 50OHM SMA,,"{’Attenuation Value’: ’2dB’, ’Frequency Range’: ’2dB’, ’Power (Watts)’: ’2dB’, ’Impedance’: ’2dB’, ’Package / Case’: ’2dB’, ’RoHS Status’: ’2dB’, ’Moisture Sensitivity Level (MSL)’: ’2dB’, ’Standard Package’: ’2dB’, ’Other Names’: ’2dB’}",,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-115V,16 weeks,85437099,RF ATTENUATOR 15DB 50OHM SMA,,"{’Attenuation Value’: ’15dB’, ’Frequency Range’: ’15dB’, ’Power (Watts)’: ’15dB’, ’Impedance’: ’15dB’, ’Package / Case’: ’15dB’, ’RoHS Status’: ’15dB’, ’Moisture Sensitivity Level (MSL)’: ’15dB’, ’Standard Package’: ’15dB’, ’Other Names’: ’15dB’}",,,20,20,,
//media.digikey.com/Photos/Hirose%20Elect%20Photos/AT-Series.jpg,Interconnect,RF/IF and RFID,Attenuators,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,Yes,EAR99,AT-101V,16 weeks,85437099,RF ATTENUATOR 1DB 50OHM SMA,,"{’Attenuation Value’: ’1dB’, ’Frequency Range’: ’1dB’, ’Power (Watts)’: ’1dB’, ’Impedance’: ’1dB’, ’Package / Case’: ’1dB’, ’RoHS Status’: ’1dB’, ’Moisture Sensitivity Level (MSL)’: ’1dB’, ’Standard Package’: ’1dB’, ’Other Names’: ’1dB’}",,,20,20,,
,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,MF10/CVMD2,,90139090,TOOL ASSY,,"{’RoHS Status’: ’RoHS non-compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS non-compliant’, ’Standard Package’: ’RoHS non-compliant’, ’Other Names’: ’RoHS non-compliant’}",,,1,1,,
,Interconnect,Tools,Fiber Optics and Accessories,"HIROSE ELECTRIC CO., LTD.",Bulk,Lead time ,No,EAR99,MF10B-WP7C01-0200/CVMD,,90139090,PLUG ASSY TOOL,,"{’RoHS Status’: ’RoHS non-compliant’, ’Moisture Sensitivity Level (MSL)’: ’RoHS non-compliant’, ’Standard Package’: ’RoHS non-compliant’, ’Other Names’: ’RoHS non-compliant’}",,,1,1,,
