Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Quantity Available,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
29,https://www.digikey.com/Photos/Viking%20Technology/VR7PU126498GBFMKT.JPG,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PU1G6498HBFMPT,MODULE DDR3L SDRAM 8GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR3L SDRAM"","" Memory Size"":"" 8GB"","" Speed"":"" 1600MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1023""}",Yes,EAR99,85371000,,,DRAM Memory Modules
30,https://www.digikey.com/Photos/Viking%20Technology/VR7PA127258GBDMKT.JPG,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PA127258GBDMKT,MODULE DDR3 SDRAM 4GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR3 SDRAM"","" Memory Size"":"" 4GB"","" Speed"":"" 1333MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1019""}",Yes,EAR99,85371000,,,DRAM Memory Modules
31,https://www.digikey.com/Photos/Viking%20Technology/MFG_M.2_Above-256GB.jpg,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFEM6512GZCFMTL,SSD 512GB M.2 MLC SATAIII 3.3V,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 512GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" M2 Module"","" Speed - Read"":"" 560MB/s"","" Speed - Write"":"" 465MB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 4200mm x 2200mm x 380mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1041""}",Yes,EAR99,85371000,http://www.vikingtechnology.com/wp-content/uploads/M2SSD_ProductBrief.pdf,,M.2 Solid State Drive
32,,Passive Components,Integrated Circuits (ICs),Memory,VPM9U1272S6B3PJ1MAE,IC DRAM 4GBIT PARALLEL 1.2GHZ,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM - DDR4"","" Memory Size"":"" 4Gb (512M x 8)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 12GHz"","" Voltage - Supply"":"" 12V"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" VPM9U1272S6B0PJ1MAE""}",Yes,EAR99,,,,
33,https://www.digikey.com/Photos/Viking%20Technology/VPFEM2001TTCCMTL.JPG,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFEM2001TTCCMTL,SSD 960GB MSATA MLC SATAIII 3.3V,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 960GB"","" Memory Type"":"" FLASH - NAND (MLC)"","" Form Factor"":"" mSATA"","" Speed - Read"":"" 540MB/s"","" Speed - Write"":"" 510MB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" SATA III"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 5080mm x 2985mm x 400mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1009""}",Yes,EAR99,85371000,https://www.vikingtechnology.com/wp-content/uploads/2017/03/mSATA_PhisonS10_Client.pdf,,SlimSATA and mSATA Solid State Drivers
34,,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VPFNP5960G5IFWT3,960GB M.2 2280 PCIE,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 960GB"","" Memory Type"":"" FLASH - NAND (TLC)"","" Form Factor"":"" M2 Module"","" PCIe"","" Speed - Read"":"" 347GB/s"","" Speed - Write"":"" 3GB/s"","" Voltage - Supply"":"" 33V"","" Type"":"" NVMe"","" Current - Max"":"" -"","" Operating Temperature"":"" -40C ~ 85C"","" Size / Dimension"":"" 8000mm x 2200mm x 800mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-VPFNP5960G5IFWT3""}",Yes,EAR99,85371000,,,
35,https://www.digikey.com/Photos/Viking%20Technology/VSFN25800GYCZWSE.JPG,Passive Components,"Memory Cards, Modules","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",VSFN25800GYCZWSE,"SSD 800GB 2.5"" TLC NVME 12V",VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Size"":"" 800GB"","" Memory Type"":"" FLASH - NAND (TLC)"","" Form Factor"":"" 25"""","" Speed - Read"":"" 3300MB/s"","" Speed - Write"":"" 1000MB/s"","" Voltage - Supply"":"" 12V"","" Type"":"" NVMe"","" Current - Max"":"" -"","" Operating Temperature"":"" 0C ~ 70C"","" Size / Dimension"":"" 10020mm x 6985mm x 1500mm"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1033""}",Yes,EAR99,85371000,,,2.5 Inch Solid State Drivers (SSDs)
36,,Passive Components,Integrated Circuits (ICs),Memory,VPM9U1272S6B3PJ1MAM,IC DRAM 4GBIT PARALLEL 1.2GHZ,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM - DDR4"","" Memory Size"":"" 4Gb (512M x 8)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 12GHz"","" Voltage - Supply"":"" 12V"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" VPM9U1272S6B0PJ1MAM""}",Yes,EAR99,,,,
37,https://www.digikey.com/Photos/Viking%20Technology/MFG_microSDcard.jpg,Passive Components,"Memory Cards, Modules",Memory Cards,VPFUSD0512QI7STH,MEM CARD MICROSD 512MB CLS 6 SLC,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" microSD"","" Memory Size"":"" 512MB"","" Speed"":"" Class 6"","" Technology"":"" SLC"","" Operating Temperature"":"" -25C ~ 85C"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1015""}",Yes,EAR99,85371000,,,SD/microSD Cards
38,,Passive Components,Integrated Circuits (ICs),Memory,VPM9U1272S6B3PJ1MAT,IC DRAM 4GBIT PARALLEL 1.2GHZ,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" Volatile"","" Memory Format"":"" DRAM"","" Technology"":"" SDRAM - DDR4"","" Memory Size"":"" 4Gb (512M x 8)"","" Memory Interface"":"" Parallel"","" Clock Frequency"":"" 12GHz"","" Voltage - Supply"":"" 12V"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" VPM9U1272S6B0PJ1MAT""}",Yes,EAR99,,,,
39,https://www.digikey.com/Photos/Viking%20Technology/VR7PUXX6458ZZZ~.jpg,Passive Components,"Memory Cards, Modules",Memory - Modules,VR7PU566498GBFMKT,MODULE DDR3L SDRAM 2GB 204SODIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR3L SDRAM"","" Memory Size"":"" 2GB"","" Speed"":"" 1600MT/s"","" Package / Case"":"" 204-SODIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1026""}",Yes,EAR99,85371000,,,DRAM Memory Modules
40,,Passive Components,"Memory Cards, Modules",Memory - Modules,VRFDUC3L4096YIH3V1,MODULE FLASH NAND 4GB,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" FLASH - NAND (SLC)"","" Memory Size"":"" 4GB"","" Speed"":"" 35MB/s Read"","" 23MB/s Write"","" Package / Case"":"" Module"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1051""}",Yes,EAR99,85371000,,,
41,https://www.digikey.com/Photos/Viking%20Technology/VP9ML4G7224JBJSB.JPG,Passive Components,"Memory Cards, Modules",Memory - Modules,VP9ML4G7224JBJSB,MODULE DDR4 SDRAM 32GB 288LRDIMM,VIKING TECH CORPORATION,Box,Lead time,,,1,1,,"{""Memory Type"":"" DDR4 SDRAM"","" Memory Size"":"" 32GB"","" Speed"":"" 2400MT/s"","" Package / Case"":"" 288-LRDIMM"","" Base Part Number"":"" "","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1803-1002""}",Yes,EAR99,85371000,,,DRAM Memory Modules
