Sr. no,Product Photo,Group Category,Product Category,Product Sub-Category,Manufacturer Part No,Short Description ,Manufacturer Name,Available packaging,Stock Status,Lead Time,Qty Min,Qty Multiple,Price,Technical Specification,ROHS,ECCM,HSCode,Datasheet Link,COO,Series
4178,https://www.digikey.com/Renders/Knowles%20NOVACAP/0201-(0603-Metric).jpg,Passive Components,Capacitors,Ceramic Capacitors,0201BN2R7C500YT,CAP CER 2.7PF 50V C0G/NP0 0201,KNOWLES PRECISION DEVICES,Tape and Reel,Lead time,16 Weeks,"15,000","15,000",,"{""Capacitance"":"" 27pF"","" Tolerance"":"" 025pF"","" Voltage - Rated"":"" 50V"","" Temperature Coefficient"":"" C0G"","" NP0"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" -"","" Ratings"":"" -"","" Applications"":"" General Purpose"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0201 (0603 Metric)"","" Size / Dimension"":"" 0024"" L x 0012"" W (060mm x 030mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0013"" (033mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 15"",""000""}",Yes,EAR99,85321000,,,
4179,https://www.digikey.com/Renders/Knowles%20NOVACAP/0201-(0603-Metric).jpg,Passive Components,Capacitors,Ceramic Capacitors,0201BB471K500YT,CAP CER 470PF 50V X7R 0201,KNOWLES PRECISION DEVICES,Tape and Reel,Lead time,16 Weeks,"15,000","15,000",,"{""Capacitance"":"" 470pF"","" Tolerance"":"" 10%"","" Voltage - Rated"":"" 50V"","" Temperature Coefficient"":"" X7R"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" -"","" Ratings"":"" -"","" Applications"":"" General Purpose"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0201 (0603 Metric)"","" Size / Dimension"":"" 0024"" L x 0012"" W (060mm x 030mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0013"" (033mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 15"",""000""}",Yes,EAR99,85321000,,,
4180,https://www.digikey.com/Renders/Knowles%20Syfer/FlexiCap-0805-(2012-Metric)-4-PC-Pad.jpg,Passive Components,Capacitors,Ceramic Capacitors,0805J1000470MATE03,CAP CER 47PF 100V C0G/NP0 0805,KNOWLES PRECISION DEVICES,Reel,Lead time,,1,1,,"{""Capacitance"":"" 47pF"","" Tolerance"":"" 20%"","" Voltage - Rated"":"" 100V"","" Temperature Coefficient"":"" C0G"","" NP0"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" Low ESL (X2Y)"","" Ratings"":"" AEC-Q200"","" Applications"":"" Automotive"","" Bypass"","" Decoupling"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0805 (2012 Metric)"","" Size / Dimension"":"" 0079"" L x 0049"" W (200mm x 125mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0045"" (115mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1608-1341-6""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/97e4010c-990f-4443-b2e6-ca86e1439965/AEC-Q200,,
4181,"https://www.digikey.com/Renders/Knowles%20Syfer/0603-(1608-Metric)-0,80mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,060330630332KXT,CAP CER 3300PF 63V X7R 0603,KNOWLES PRECISION DEVICES,Tape,Lead time,13 Weeks,1,1,,"{""Capacitance"":"" 3300pF"","" Tolerance"":"" 10%"","" Voltage - Rated"":"" 63V"","" Temperature Coefficient"":"" X7R (2R1)"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" Non-Magnetic"","" Soft Termination"","" Ratings"":"" -"","" Applications"":"" Boardflex Sensitive"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0603 (1608 Metric)"","" Size / Dimension"":"" 0063"" L x 0031"" W (160mm x 080mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0031"" (080mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1608-1293-1""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/6c03b3e4-49f0-4da1-9eda-f8acf5f7442f/Non-Magnetic,,Non-Magnetic MLCCS
4182,"https://www.digikey.com/Renders/Knowles%20Syfer/0603-(1608-Metric)-0,80mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,060330630222KXT,CAP CER 2200PF 63V X7R 0603,KNOWLES PRECISION DEVICES,Tape and Reel,Lead time,13 Weeks,"4,000","4,000",,"{""Capacitance"":"" 2200pF"","" Tolerance"":"" 10%"","" Voltage - Rated"":"" 63V"","" Temperature Coefficient"":"" X7R (2R1)"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" Non-Magnetic"","" Soft Termination"","" Ratings"":"" -"","" Applications"":"" Boardflex Sensitive"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0603 (1608 Metric)"","" Size / Dimension"":"" 0063"" L x 0031"" W (160mm x 080mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0031"" (080mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 4"",""000"","" Other Names"":"" 1608-1292-2""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/6c03b3e4-49f0-4da1-9eda-f8acf5f7442f/Non-Magnetic,,Non-Magnetic MLCCS
4183,"https://www.digikey.com/Renders/Knowles%20Syfer/0603-(1608-Metric)-0,80mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,060330630222KXT,CAP CER 2200PF 63V X7R 0603,KNOWLES PRECISION DEVICES,Tape,Lead time,13 Weeks,1,1,,"{""Capacitance"":"" 2200pF"","" Tolerance"":"" 10%"","" Voltage - Rated"":"" 63V"","" Temperature Coefficient"":"" X7R (2R1)"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" Non-Magnetic"","" Soft Termination"","" Ratings"":"" -"","" Applications"":"" Boardflex Sensitive"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0603 (1608 Metric)"","" Size / Dimension"":"" 0063"" L x 0031"" W (160mm x 080mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0031"" (080mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1608-1292-1""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/6c03b3e4-49f0-4da1-9eda-f8acf5f7442f/Non-Magnetic,,Non-Magnetic MLCCS
4184,"https://www.digikey.com/Renders/Knowles%20Syfer/0603-(1608-Metric)-0,80mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,060330630332KXT,CAP CER 3300PF 63V X7R 0603,KNOWLES PRECISION DEVICES,Reel,Lead time,13 Weeks,1,1,,"{""Capacitance"":"" 3300pF"","" Tolerance"":"" 10%"","" Voltage - Rated"":"" 63V"","" Temperature Coefficient"":"" X7R (2R1)"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" Non-Magnetic"","" Soft Termination"","" Ratings"":"" -"","" Applications"":"" Boardflex Sensitive"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0603 (1608 Metric)"","" Size / Dimension"":"" 0063"" L x 0031"" W (160mm x 080mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0031"" (080mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 1"","" Other Names"":"" 1608-1293-6""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/6c03b3e4-49f0-4da1-9eda-f8acf5f7442f/Non-Magnetic,,Non-Magnetic MLCCS
4185,"https://www.digikey.com/Renders/Knowles%20Syfer/0603-(1608-Metric)-0,80mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,060330630332KXT,CAP CER 3300PF 63V X7R 0603,KNOWLES PRECISION DEVICES,Tape and Reel,Lead time,13 Weeks,"4,000","4,000",,"{""Capacitance"":"" 3300pF"","" Tolerance"":"" 10%"","" Voltage - Rated"":"" 63V"","" Temperature Coefficient"":"" X7R (2R1)"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" Non-Magnetic"","" Soft Termination"","" Ratings"":"" -"","" Applications"":"" Boardflex Sensitive"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 0603 (1608 Metric)"","" Size / Dimension"":"" 0063"" L x 0031"" W (160mm x 080mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" 0031"" (080mm)"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" ROHS3 Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 4"",""000"","" Other Names"":"" 1608-1293-2""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/6c03b3e4-49f0-4da1-9eda-f8acf5f7442f/Non-Magnetic,,Non-Magnetic MLCCS
4186,"https://www.digikey.com/Renders/Knowles%20Dielectric%20Labs/1111-(2828-Metric)-1,79-mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,C17CF1R1C-7ZN-X1T,CAP CER 1111,KNOWLES PRECISION DEVICES,Tape and Reel,Lead time,30 Weeks,"2,350","2,350",,"{""Capacitance"":"" 11pF"","" Tolerance"":"" 025pF"","" Voltage - Rated"":"" 1000V (1kV)"","" Temperature Coefficient"":"" C0G"","" NP0"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" -"","" Ratings"":"" -"","" Applications"":"" RF"","" Microwave"","" High Frequency"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 1111 (2828 Metric)"","" Size / Dimension"":"" 0110"" L x 0110"" W (279mm x 279mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" -"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 2"",""350"","" Other Names"":"" C17CF1R1C-7ZN-X1T-2K""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/8d099549-d1f9-4d79-b791-93ecd9ff4321/PorcelainCF,,
4187,"https://www.digikey.com/Renders/Knowles%20Dielectric%20Labs/1111-(2828-Metric)-1,79-mm-Tan.jpg",Passive Components,Capacitors,Ceramic Capacitors,C17CF1R2C-7ZN-X1T,CAP CER 1111,KNOWLES PRECISION DEVICES,Tape and Reel,Lead time,30 Weeks,"2,350","2,350",,"{""Capacitance"":"" 12pF"","" Tolerance"":"" 025pF"","" Voltage - Rated"":"" 1000V (1kV)"","" Temperature Coefficient"":"" C0G"","" NP0"","" Operating Temperature"":"" -55C ~ 125C"","" Features"":"" -"","" Ratings"":"" -"","" Applications"":"" RF"","" Microwave"","" High Frequency"","" Failure Rate"":"" -"","" Mounting Type"":"" Surface Mount"","" MLCC"","" Package / Case"":"" 1111 (2828 Metric)"","" Size / Dimension"":"" 0110"" L x 0110"" W (279mm x 279mm)"","" Height - Seated (Max)"":"" -"","" Thickness (Max)"":"" -"","" Lead Spacing"":"" -"","" Lead Style"":"" -"","" RoHS Status"":"" RoHS Compliant"","" Moisture Sensitivity Level (MSL)"":"" 1  (Unlimited)"","" Standard Package"":"" 2"",""350"","" Other Names"":"" C17CF1R2C-7ZN-X1T-2K""}",Yes,EAR99,85321000,https://www.knowlescapacitors.com/getattachment/8d099549-d1f9-4d79-b791-93ecd9ff4321/PorcelainCF,,
